num	weight	title
1	0.007	>Q9BYF1.2 RecName: Full=Angiotensin-converting enzyme 2; AltName: Full=Angiotensin-converting enzyme homolog; Short=ACEH; AltName: Full=Angiotensin-converting enzyme-related carboxypeptidase; Short=ACE-related carboxypeptidase; AltName: Full=Metalloprotea
2	0.025	>Q50JE5.1 RecName: Full=Angiotensin-converting enzyme; Short=ACE; AltName: Full=Dipeptidyl carboxypeptidase I; AltName: Full=Kininase II; AltName: CD_antigen=CD143; Contains: RecName: Full=Angiotensin-converting enzyme, soluble form; Flags: Precursor [Mes
3	0.004	>Q6Q4G4.1 RecName: Full=Angiotensin-converting enzyme; AltName: Full=Dipeptidyl carboxypeptidase I; AltName: Full=Kininase II; AltName: Full=TtACE; Flags: Precursor [Theromyzon tessulatum]
4	0.006	>D0G895.1 RecName: Full=Angiotensin-converting enzyme-like protein Ace3; Flags: Precursor [Mus musculus]
5	0.004	>Q10714.3 RecName: Full=Angiotensin-converting enzyme; AltName: Full=Dipeptidyl carboxypeptidase I; AltName: Full=Kininase II; Flags: Precursor [Drosophila melanogaster]
6	0.004	>Q9VLJ6.1 RecName: Full=Angiotensin-converting enzyme-related protein; Flags: Precursor [Drosophila melanogaster]
7	0.008	>Q18581.2 RecName: Full=Inactive angiotensin-converting enzyme-related protein; AltName: Full=ACE-like non-metallopeptidase protein 1; Flags: Precursor [Caenorhabditis elegans]
8	0.003	>Q0VCT4.1 RecName: Full=Collectrin; AltName: Full=Transmembrane protein 27; Flags: Precursor [Bos taurus]
9	0.003	>P0C0V5.1 RecName: Full=Diphthamide biosynthesis protein 4 [Aspergillus nidulans FGSC A4]
10	0.002	>Q8ZU20.1 RecName: Full=GTP cyclohydrolase III [Pyrobaculum aerophilum str. IM2]
11	0.002	>Q11RM3.1 RecName: Full=Methionine--tRNA ligase; AltName: Full=Methionyl-tRNA synthetase; Short=MetRS [Cytophaga hutchinsonii ATCC 33406]
12	0.002	>A5FLM7.1 RecName: Full=Methionine--tRNA ligase; AltName: Full=Methionyl-tRNA synthetase; Short=MetRS [Flavobacterium johnsoniae UW101]
13	0.002	>A1RRI0.1 RecName: Full=GTP cyclohydrolase III [Pyrobaculum islandicum DSM 4184]
14	0.002	>A4WKJ7.1 RecName: Full=GTP cyclohydrolase III [Pyrobaculum arsenaticum DSM 13514]
15	0.002	>A3MV81.1 RecName: Full=GTP cyclohydrolase III [Pyrobaculum calidifontis JCM 11548]
16	0.002	>B1YAW1.1 RecName: Full=GTP cyclohydrolase III [Pyrobaculum neutrophilum V24Sta]
17	0.002	>Q65S22.1 RecName: Full=Methionine--tRNA ligase; AltName: Full=Methionyl-tRNA synthetase; Short=MetRS [[Mannheimia] succiniciproducens MBEL55E]
18	0.002	>A1KAG3.1 RecName: Full=Methionine--tRNA ligase; AltName: Full=Methionyl-tRNA synthetase; Short=MetRS [Azoarcus olearius]
19	0.002	>Q2S2A3.1 RecName: Full=Methionine--tRNA ligase; AltName: Full=Methionyl-tRNA synthetase; Short=MetRS [Salinibacter ruber DSM 13855]
20	0.002	>Q5WST1.1 RecName: Full=Methionine--tRNA ligase; AltName: Full=Methionyl-tRNA synthetase; Short=MetRS [Legionella pneumophila str. Lens]
21	0.002	>Q31GU1.1 RecName: Full=Methionine--tRNA ligase; AltName: Full=Methionyl-tRNA synthetase; Short=MetRS [Hydrogenovibrio crunogenus XCL-2]
22	0.002	>A4G3S6.1 RecName: Full=Methionine--tRNA ligase; AltName: Full=Methionyl-tRNA synthetase; Short=MetRS [Herminiimonas arsenicoxydans]
23	0.002	>Q480H5.1 RecName: Full=Methionine--tRNA ligase; AltName: Full=Methionyl-tRNA synthetase; Short=MetRS [Colwellia psychrerythraea 34H]
24	0.002	>Q5R0G6.1 RecName: Full=Methionine--tRNA ligase; AltName: Full=Methionyl-tRNA synthetase; Short=MetRS [Idiomarina loihiensis L2TR]
25	0.002	>Q8TX28.1 RecName: Full=Methionine--tRNA ligase; AltName: Full=Methionyl-tRNA synthetase; Short=MetRS [Methanopyrus kandleri AV19]
26	0.002	>Q6MMA3.1 RecName: Full=Methionine--tRNA ligase; AltName: Full=Methionyl-tRNA synthetase; Short=MetRS [Bdellovibrio bacteriovorus HD100]
27	0.002	>P48085.1 RecName: Full=ATP synthase B' chain, cyanelle; AltName: Full=ATPase subunit II [Cyanophora paradoxa]
28	0.003	>Q4WPF7.1 RecName: Full=Diphthamide biosynthesis protein 4 [Aspergillus fumigatus Af293]
29	0.002	>Q83GK7.1 RecName: Full=3-methyl-2-oxobutanoate hydroxymethyltransferase; AltName: Full=Ketopantoate hydroxymethyltransferase; Short=KPHMT [Tropheryma whipplei str. Twist]
30	0.006	>Q8VIH3.1 RecName: Full=Solute carrier family 28 member 3; AltName: Full=Concentrative Na(+)-nucleoside cotransporter 3; Short=CNT 3; Short=rCNT3 [Rattus norvegicus]
31	0.004	>Q13948.2 RecName: Full=Protein CASP [Homo sapiens]
32	0.003	>P43047.2 RecName: Full=Uncharacterized protein MCAP_0864; AltName: Full=ORF R8; Flags: Precursor [Mycoplasma capricolum subsp. capricolum ATCC 27343]
33	0.004	>F4IPE3.1 RecName: Full=Zinc finger protein SHOOT GRAVITROPISM 5; AltName: Full=Protein indeterminate-domain 15; Short=AtIDD15 [Arabidopsis thaliana]
34	0.009	>P53564.3 RecName: Full=Homeobox protein cut-like 1; AltName: Full=CCAAT displacement protein; Short=CDP; AltName: Full=Homeobox protein cux-1; Contains: RecName: Full=CDP/Cux p110 [Mus musculus]
35	0.009	>P53565.2 RecName: Full=Homeobox protein cut-like 1; AltName: Full=CCAAT displacement protein; Short=CDP; AltName: Full=CDP2; AltName: Full=Homeobox protein cux-1; Contains: RecName: Full=CDP/Cux p110 [Rattus norvegicus]
36	0.002	>P32918.2 RecName: Full=Apolipoprotein A-I; Short=Apo-AI; Short=ApoA-I; AltName: Full=Apolipoprotein A1; Contains: RecName: Full=Proapolipoprotein A-I; Short=ProapoA-I; Flags: Precursor [Coturnix japonica]
37	0.002	>Q12UQ9.1 RecName: Full=Methionine--tRNA ligase; AltName: Full=Methionyl-tRNA synthetase; Short=MetRS [Methanococcoides burtonii DSM 6242]
38	0.008	>Q6GCI9.1 RecName: Full=Type VII secretion system accessory factor EsaA [Staphylococcus aureus subsp. aureus MSSA476] >Q8NYF5.1 RecName: Full=Type VII secretion system accessory factor EsaA [Staphylococcus aureus subsp. aureus MW2]
39	0.021	>Q9URU2.2 RecName: Full=DNA replication ATP-dependent helicase/nuclease dna2; Includes: RecName: Full=DNA replication nuclease dna2; Includes: RecName: Full=DNA replication ATP-dependent helicase dna2 [Schizosaccharomyces pombe 972h-]
40	0.002	>Q9PP85.1 RecName: Full=Methionine--tRNA ligase; AltName: Full=Methionyl-tRNA synthetase; Short=MetRS [Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819]
41	0.002	>Q3K7L0.1 RecName: Full=Methionine--tRNA ligase; AltName: Full=Methionyl-tRNA synthetase; Short=MetRS [Pseudomonas fluorescens Pf0-1]
42	0.002	>Q0VP51.1 RecName: Full=Methionine--tRNA ligase; AltName: Full=Methionyl-tRNA synthetase; Short=MetRS [Alcanivorax borkumensis SK2]
43	0.002	>A1WUY7.1 RecName: Full=Methionine--tRNA ligase; AltName: Full=Methionyl-tRNA synthetase; Short=MetRS [Halorhodospira halophila SL1]
44	0.002	>A0L8S1.1 RecName: Full=Methionine--tRNA ligase; AltName: Full=Methionyl-tRNA synthetase; Short=MetRS [Magnetococcus marinus MC-1]
45	0.003	>Q2Y7P0.1 RecName: Full=Methionine--tRNA ligase; AltName: Full=Methionyl-tRNA synthetase; Short=MetRS [Nitrosospira multiformis ATCC 25196]
46	0.002	>Q1H2F4.1 RecName: Full=Methionine--tRNA ligase; AltName: Full=Methionyl-tRNA synthetase; Short=MetRS [Methylobacillus flagellatus KT]
47	0.002	>A5EY62.1 RecName: Full=Methionine--tRNA ligase; AltName: Full=Methionyl-tRNA synthetase; Short=MetRS [Dichelobacter nodosus VCS1703A]
48	0.002	>Q7NYR7.1 RecName: Full=Methionine--tRNA ligase; AltName: Full=Methionyl-tRNA synthetase; Short=MetRS [Chromobacterium violaceum ATCC 12472]
49	0.002	>Q6FE36.1 RecName: Full=Methionine--tRNA ligase; AltName: Full=Methionyl-tRNA synthetase; Short=MetRS [Acinetobacter baylyi ADP1]
50	0.002	>B5ENA8.1 RecName: Full=Methionine--tRNA ligase; AltName: Full=Methionyl-tRNA synthetase; Short=MetRS [Acidithiobacillus ferrooxidans ATCC 53993] >B7J7Y5.1 RecName: Full=Methionine--tRNA ligase; AltName: Full=Methionyl-tRNA synthetase; Short=MetRS [Acidit
51	0.002	>Q82WP0.1 RecName: Full=Methionine--tRNA ligase; AltName: Full=Methionyl-tRNA synthetase; Short=MetRS [Nitrosomonas europaea ATCC 19718]
