num	weight	title
1	0.009	>P61626.1 RecName: Full=Lysozyme C; AltName: Full=1,4-beta-N-acetylmuramidase C; Flags: Precursor [Homo sapiens] >P61627.1 RecName: Full=Lysozyme C; AltName: Full=1,4-beta-N-acetylmuramidase C; Flags: Precursor [Pan paniscus] >P61628.1 RecName: Full=Lysoz
2	0.009	>P61633.1 RecName: Full=Lysozyme C; AltName: Full=1,4-beta-N-acetylmuramidase C; Flags: Precursor [Chlorocebus aethiops] >P61634.1 RecName: Full=Lysozyme C; AltName: Full=1,4-beta-N-acetylmuramidase C; Flags: Precursor [Erythrocebus patas]
3	0.009	>P79847.1 RecName: Full=Lysozyme C; AltName: Full=1,4-beta-N-acetylmuramidase C; Flags: Precursor [Pygathrix nemaeus]
4	0.009	>P79158.1 RecName: Full=Lysozyme C; AltName: Full=1,4-beta-N-acetylmuramidase C; Flags: Precursor [Callithrix jacchus]
5	0.010	>P80189.4 RecName: Full=Lysozyme C, non-stomach isozyme; AltName: Full=1,4-beta-N-acetylmuramidase C; Flags: Precursor [Bos taurus]
6	0.009	>Q6B411.1 RecName: Full=Lysozyme C, milk isozyme; AltName: Full=1,4-beta-N-acetylmuramidase C; Flags: Precursor [Bos taurus]
7	0.009	>Q659U1.1 RecName: Full=Lysozyme C; AltName: Full=1,4-beta-N-acetylmuramidase C; Flags: Precursor [Phoca vitulina] >Q659U5.1 RecName: Full=Lysozyme C; AltName: Full=1,4-beta-N-acetylmuramidase C; Flags: Precursor [Halichoerus grypus]
8	0.009	>P16973.1 RecName: Full=Lysozyme C; AltName: Full=1,4-beta-N-acetylmuramidase C [Oryctolagus cuniculus]
9	0.010	>P17607.2 RecName: Full=Lysozyme C-1; AltName: Full=1,4-beta-N-acetylmuramidase C; Flags: Precursor [Ovis aries]
10	0.009	>P17897.1 RecName: Full=Lysozyme C-1; AltName: Full=1,4-beta-N-acetylmuramidase C; AltName: Full=Lysozyme C type P; Flags: Precursor [Mus musculus]
11	0.010	>P12069.2 RecName: Full=Lysozyme C-3; AltName: Full=1,4-beta-N-acetylmuramidase C; Flags: Precursor [Sus scrofa]
12	0.010	>P00697.2 RecName: Full=Lysozyme C-1; AltName: Full=1,4-beta-N-acetylmuramidase C; Flags: Precursor [Rattus norvegicus]
13	0.009	>Q27996.1 RecName: Full=Lysozyme C, tracheal isozyme; AltName: Full=1,4-beta-N-acetylmuramidase C; Flags: Precursor [Bos taurus]
14	0.010	>P37712.1 RecName: Full=Lysozyme C; AltName: Full=1,4-beta-N-acetylmuramidase [Camelus dromedarius]
15	0.010	>Q05820.1 PUTATIVE PSEUDOGENE: RecName: Full=Putative lysozyme C-2; AltName: Full=1,4-beta-N-acetylmuramidase C; Flags: Precursor [Rattus norvegicus]
16	0.010	>Q6B410.1 RecName: Full=Lysozyme C, intestinal isozyme; AltName: Full=1,4-beta-N-acetylmuramidase C; Flags: Precursor [Bos taurus]
17	0.010	>P51782.1 RecName: Full=Lysozyme C; AltName: Full=1,4-beta-N-acetylmuramidase C; Flags: Precursor [Trichosurus vulpecula]
18	0.010	>P11941.2 RecName: Full=Lysozyme C II; AltName: Full=1,4-beta-N-acetylmuramidase C; AltName: Full=Lysozyme type II; Flags: Precursor [Oncorhynchus mykiss]
19	0.010	>P00705.1 RecName: Full=Lysozyme C-1; AltName: Full=1,4-beta-N-acetylmuramidase C; Flags: Precursor [Anas platyrhynchos]
20	0.010	>Q7LZQ1.3 RecName: Full=Lysozyme C; AltName: Full=1,4-beta-N-acetylmuramidase C; AltName: Full=Softshell turtle lysozyme C; Short=SSTL [Pelodiscus sinensis]
21	0.010	>Q9PU28.1 RecName: Full=Lysozyme C; AltName: Full=1,4-beta-N-acetylmuramidase C; Flags: Precursor [Scophthalmus maximus]
22	0.010	>Q9DD65.1 RecName: Full=Lysozyme C; AltName: Full=1,4-beta-N-acetylmuramidase C; Flags: Precursor [Paralichthys olivaceus]
23	0.010	>P61944.1 RecName: Full=Lysozyme C; AltName: Full=1,4-beta-N-acetylmuramidase C; Flags: Precursor [Takifugu rubripes]
24	0.010	>G3XDT7.1 RecName: Full=Lysozyme C; AltName: Full=1,4-beta-N-acetylmuramidase C; Flags: Precursor [Dromaius novaehollandiae]
