num	weight	title
1	0.004	>P17858.6 RecName: Full=ATP-dependent 6-phosphofructokinase, liver type; Short=ATP-PFK; Short=PFK-L; AltName: Full=6-phosphofructokinase type B; AltName: Full=Phosphofructo-1-kinase isozyme B; Short=PFK-B; AltName: Full=Phosphohexokinase [Homo sapiens]
2	0.004	>P52784.2 RecName: Full=ATP-dependent 6-phosphofructokinase, muscle type; Short=ATP-PFK; Short=PFK-M; AltName: Full=6-phosphofructokinase type A; AltName: Full=Phosphofructo-1-kinase isozyme A; Short=PFK-A; AltName: Full=Phosphohexokinase [Canis lupus fam
3	0.004	>P47859.1 RecName: Full=ATP-dependent 6-phosphofructokinase, platelet type; Short=ATP-PFK; Short=PFK-P; AltName: Full=6-phosphofructokinase type C; AltName: Full=Phosphofructo-1-kinase isozyme C; Short=PFK-C; AltName: Full=Phosphohexokinase [Oryctolagus c
4	0.004	>P52034.2 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Drosophila melanogaster]
5	0.005	>Q27778.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Schistosoma mansoni]
6	0.004	>Q9TZL8.2 RecName: Full=ATP-dependent 6-phosphofructokinase 1; Short=ATP-PFK 1; Short=Phosphofructokinase 1; AltName: Full=Phosphohexokinase 1 [Caenorhabditis elegans]
7	0.004	>Q27665.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Haemonchus contortus]
8	0.005	>Q4W9B8.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Aspergillus fumigatus Af293]
9	0.007	>P90521.2 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Dictyostelium discoideum]
10	0.006	>O42938.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Schizosaccharomyces pombe 972h-]
11	0.007	>Q8NJU8.1 RecName: Full=ATP-dependent 6-phosphofructokinase subunit alpha; AltName: Full=ATP-dependent 6-phosphofructokinase 1; Short=ATP-PFK 1; Short=Phosphofructokinase 1; AltName: Full=Phosphohexokinase 1 [Komagataella pastoris]
12	0.007	>O94201.1 RecName: Full=ATP-dependent 6-phosphofructokinase subunit alpha; AltName: Full=ATP-dependent 6-phosphofructokinase 1; Short=ATP-PFK 1; Short=Phosphofructokinase 1; AltName: Full=Phosphohexokinase 1 [Candida albicans]
13	0.005	>Q03216.2 RecName: Full=ATP-dependent 6-phosphofructokinase subunit beta; Short=ATP-PFK 2; Short=Phosphofructokinase 2; AltName: Full=Phosphohexokinase 2 [Kluyveromyces lactis NRRL Y-1140]
14	0.006	>Q8TGA0.1 RecName: Full=ATP-dependent 6-phosphofructokinase subunit beta; AltName: Full=ATP-dependent 6-phosphofructokinase 2; Short=ATP-PFK 2; Short=Phosphofructokinase 2; AltName: Full=Phosphohexokinase 2 [Komagataella pastoris]
15	0.006	>P16862.4 RecName: Full=ATP-dependent 6-phosphofructokinase subunit beta; AltName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase 2; AltName: Full=Phosphohexokinase [Saccharomyces cerevisiae S288C]
16	0.006	>P59680.2 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Yarrowia lipolytica CLIB122]
17	0.006	>O94200.1 RecName: Full=ATP-dependent 6-phosphofructokinase subunit beta; AltName: Full=ATP-dependent 6-phosphofructokinase 2; Short=ATP-PFK 2; Short=Phosphofructokinase 2; AltName: Full=Phosphohexokinase 2 [Candida albicans]
18	0.004	>Q9HGZ0.1 RecName: Full=ATP-dependent 6-phosphofructokinase 2; Short=ATP-PFK 2; Short=Phosphofructokinase 2; AltName: Full=Phosphohexokinase 2 [Aspergillus oryzae RIB40]
19	0.006	>Q03215.1 RecName: Full=ATP-dependent 6-phosphofructokinase subunit alpha; Short=ATP-PFK 1; Short=Phosphofructokinase 1; AltName: Full=Phosphohexokinase 1 [Kluyveromyces lactis NRRL Y-1140]
20	0.006	>P16861.1 RecName: Full=ATP-dependent 6-phosphofructokinase subunit alpha; AltName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase 1; AltName: Full=Phosphohexokinase [Saccharomyces cerevisiae S288C]
21	0.006	>Q27483.1 RecName: Full=ATP-dependent 6-phosphofructokinase 2; Short=ATP-PFK 2; Short=Phosphofructokinase 2; AltName: Full=Phosphohexokinase 2 [Caenorhabditis elegans]
22	0.002	>Q27543.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Calanus finmarchicus]
23	0.002	>B9K6R9.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Thermotoga neapolitana DSM 4359]
24	0.002	>Q8A624.1 RecName: Full=ATP-dependent 6-phosphofructokinase 2; Short=ATP-PFK 2; Short=Phosphofructokinase 2; AltName: Full=Phosphohexokinase 2 [Bacteroides thetaiotaomicron VPI-5482]
25	0.002	>Q8A8R5.1 RecName: Full=ATP-dependent 6-phosphofructokinase 1; Short=ATP-PFK 1; Short=Phosphofructokinase 1; AltName: Full=Phosphohexokinase 1 [Bacteroides thetaiotaomicron VPI-5482]
26	0.001	>Q5KWB1.1 RecName: Full=ATP-dependent 6-phosphofructokinase; Short=ATP-PFK; Short=Phosphofructokinase; AltName: Full=Phosphohexokinase [Geobacillus kaustophilus HTA426]
